Дата	Время	Вид ДТП	Место	Улица	Дом	Дорога	Километр	Метр	Долгота	Долгота, градусы	Долгота, минуты	Долгота, секунды	Широта	Широта, градусы	Широта, минуты	Широта, секунды	Погибло	Погибло детей	Ранено	Ранено детей
01.01.2015	23:48	Столкновение	Республика Марий Эл, Йошкар-Ола	Звездная ул	14а				47.9392	47	56	21	56.4372	56	26	13	0	0	0	0
01.01.2015	23:20	Наезд на препятствие	Республика Марий Эл, Моркинский район, Морки	Краснова ул	7В				49.0167	49	1	0	56.4367	56	26	12	0	0	0	0
01.01.2015	22:41	Столкновение	Республика Марий Эл, Йошкар-Ола	Советская ул	154				47.3372	47	20	13	56.4797	56	28	46	0	0	0	0
01.01.2015	22:37	Столкновение	Республика Марий Эл, Йошкар-Ола	Эшпая ул	139				47.8569	47	51	24	56.4747	56	28	28	0	0	0	0
01.01.2015	20:25	Столкновение	Республика Марий Эл, Йошкар-Ола	Л.Шевцовой ул	31				47.8817	47	52	54	56.6372	56	38	13	0	0	0	0
01.01.2015	20:20	Столкновение	Республика Марий Эл, Горномарийский район, Козьмодемьянск	Шмидта ул	27				46.5681	46	34	5	56.3417	56	20	30	0	0	0	0
01.01.2015	19:15	Столкновение	Республика Марий Эл, Йошкар-Ола	Советская ул	105				47.8569	47	51	24	56.6367	56	38	12	0	0	0	0
01.01.2015	18:40	Наезд на препятствие	Республика Марий Эл, Килемарский район			Краснопутиловская	3	0	47.1111	47	6	39	5.5856	5	35	8	0	0	0	0
01.01.2015	18:25	Столкновение	Республика Марий Эл, Йошкар-Ола	Первомайская ул	76				47.8942	47	53	39	56.6492	56	38	57	0	0	0	0
01.01.2015	18:10	Столкновение	Республика Марий Эл, Йошкар-Ола	Набережная Брюгге ул.	1				47.9128	47	54	46	56.6372	56	38	13	0	0	0	0
01.01.2015	18:05	Столкновение	Республика Марий Эл, Йошкар-Ола	Чавайна б-р	19				47.6144	47	36	51	56.6303	56	37	49	0	0	0	0
01.01.2015	16:25	Опрокидывание	Республика Марий Эл, Новоторъяльский район			Оршанка - Пектубаево - Новый Торъял	39	0	48.4103	48	24	37	57.0414	57	2	29	0	0	0	0
01.01.2015	16:00	Столкновение	Республика Марий Эл, Йошкар-Ола	Маркса ул	114				47.8572	47	51	25	56.6414	56	38	29	0	0	0	0
01.01.2015	16:00	Столкновение	Республика Марий Эл, Моркинский район			Звенигово - Шелангер - Морки	88	900	48.9144	48	54	51	56.4314	56	25	53	0	0	0	0
01.01.2015	16:00	Наезд на стоящее ТС	Республика Марий Эл, Килемарский район, Ардинский, выселок Троицкий	Троицкая ул	19				46.7283	46	43	41	56.4028	56	24	10	0	0	0	0
01.01.2015	15:55	Наезд на препятствие	Республика Марий Эл, Йошкар-Ола	Прохорова ул	32Б				47.8314	47	49	53	56.6331	56	37	59	0	0	0	0
